@relation E__libs_dl4j_dl4j-examples_Thesis-MLClassification_Data_Input_WholeText

@attribute text string
@attribute @@class@@ {1,2,3,4,5,6}

@data
'TSZ mit Martina Schütze und Tim-Owe Georgi - isar148 aus München mit Birgit Linner und Roland Trescher\nam Klavier André Desponds\n\nisar148 Theater aus München mit Birgit Linner und Roland Trescher \nEin Team mit wechselnden Farben \nTheatersport, das Impro-Comedy-Format, ist offen, flexibel, schnell und situativ -\nisar148 Theater setzt diese Improprinzipien konsequent um.\nWer Improvisationstheater kennt, wird über die beiden staunen.\nLinner & Trescher sind Feuer und Wasser, Pech und Schwefel, Hund und Katz.\nVirtuos quatschen sie sich um Kopf und Kragen, philosophieren über die großen und kleinen Dinge des Alltags und zeigen tabulos, was uns wirklich bewegt.\nWährend Trescher wortgewandt mit Bildung beeindruckt, macht Linners Mimik Sprache überflüssig.\nDie Zuschauer amüsieren sich blendend, lachen von Herzen und denken über manche Szene länger nach als erwartet.\nTheatersport auf höchstem Niveau.',1
'Die sch�nsten 10 Meilen der Welt gehen in die 37. Ausgabe! Am 19. Mai 2018 verwandeln �ber 30\'000 Laufbegeisterte die Schweizer Bundesstadt in eine Hochburg des Laufens, Sport und Bewegung. Tolle Stimmung am Strassenrand inklusive!',1
'﻿Sport Anmeldung unter electric.amzracing.ch/openday\n\nMöchtest du hinter die Kulissen des AMZ Racing Teams schauen? Bist du interessiert, Teil des Teams zu werden?\n\nDer Openday bietet dir einen Einblick in den AMZ und die Formula Student Community! Aktuelle und ehemalige AMZ Teammitgliedern teilen ihre Erfahrungen und beantworten dir Fragen während dem anschliessenden Abendessen. Du kannst nicht für das ganze Event kommen? Kein Problem! Komm einfach für den Teil der dir passt. Wir freuen uns auf dich!',1
'SALSA Anfänger immer  donnerstags Zeit 19.30 . Mit Leichtigkeit und viel Spass lernen Sie die ersten Schritte. das vor Für Paare und Einzelpersonen!für blutige Anfänger oder für Leute, die sich mit den Basic-Elementen noch unsicher fühlen.. Kurse sind Online! We love to teach you ! Team fuegoypasion www.fuegoypasion.ch',1
'Samstag & Sonntag 12 - 18h\n\nDiverse Paar- und Soloworkshops im Bereich Salsa & Co.!\nInklusive Salsa Cubana Einsteigerworkshop\n\nWorkshops sind der ideale Begleiter für die Tanzentwicklung. Sie bieten Gelegenheit zu repetieren, was man im Kurs gelernt hat, die Bewegung auf Trab zu bringen, oder ganz einfach etwas Neues zu lernen oder zu beschnuppern! Es sind Blitzlichter, die aufleuchten im Alltag! \n\nhttp://salsarica.ch/maerz.html',1
'Samstag & Sonntag 11 - 18h\n\nDiverse Paar- und Soloworkshops im Bereich Salsa & Co.!\nInklusive Salsa Cubana Einsteigerworkshop\n\nWorkshops sind der ideale Begleiter für die Tanzentwicklung. Sie bieten Gelegenheit zu repetieren, was man im Kurs gelernt hat, die Bewegung auf Trab zu bringen, oder ganz einfach etwas Neues zu lernen oder zu beschnuppern! Es sind Blitzlichter, die aufleuchten im Alltag! \n\nhttp://www.salsarica.ch/maerz.html',1
'Workshop mit der mexikanischen Choreografin Nadia Lartigue (* 1980 in Mexiko-Stadt) (120 min)\n\nIn der Ausstellung Abraham Cruzvillegas – Autorreconstrucción: Social Tissue\n\nhttp://cruzvillegas.kunsthaus.ch/de/event/dancebrnadia-lartigue-2018-03-11\n\n\n«Seit einigen Jahren arbeite ich als Choreografin nicht mehr individualistisch; bei fast allen Gelegenheiten gibt es Überschneidungen, Begegnungen und Verhandlungen mit anderen. Manchmal mit Choreografen oder mit Künstlern anderer Disziplinen, aber auch mit Menschen, die mit der Kunstszene gar nichts zu tun haben. Die jüngsten Projekte, an denen ich gearbeitet habe, handeln unter anderem von politischer Demonstration als choreografischem Ereignis; vom Körper im Widerstand; vom Tanz als Tauschwert und von den veränderlichen Zuständen des Körpers, wenn dieser versucht, sich mit der pflanzlichen Welt zu verbinden. \n\nIch finde, dass uns das Choreografieren und das Nachdenken über den Körper eine bestimmte Einsicht vermitteln kann. Das Nachdenken über den Körper gibt einen Blickwinkel vor, von dem aus man die Handlung betrachtet, einrahmt und modifiziert, und damit die Räume mit neuer Bedeutung auflädt.» \n\nDer Eintritt für den Workshop ist im Ausstellungsticket inbegriffen. Keine Reservation notwendig.\n\n--\n\nWorkshop \nDance\nNadia Lartigue\n120 min\n\nWorkshop with the Mexican choreographer Nadia Lartigue (b. 1980 in Mexico City)\n\n‘For some years now my work as a choreographer has ceased to be individualistic; on almost every occasion there are overlaps, encounters and negotiations with other people. Sometimes with choreographers or artists in other disciplines, but also with people who have nothing to do with the art scene. The most recent projects I\'ve been working on deal with topics such as the political demonstration as choreographic event, the body in resistance, dance as a unit of exchange and the changing states of the body as it seeks to bond with the plant world.\n\n‘I think choreographing and reflecting on the body has something to teach us, because it dictates a perspective from which you observe, frame and modify the action and imbue spaces with new meaning.’\n\nThe attendance fee is included in the exhibition ticket. No booking required.',1
'Das Urban Bike Festival ist DAS Schaufenster der urbanen Velokultur in der Schweiz. An unserer vielfältigen Urban Bike Expo gibt es die innovativsten und angesagtesten Neuheiten zu entdecken. Actionreiche Shows, spritzige Rennen und verschieden lässige Aktivitäten sorgen für ein einzigartiges Erlebnis und Velofreude pur.',1
'Salsa Lady Style Workshop eignet sich für alle Salseras . Hier werdet ihr den Wow-Effekt beim Salsa lernen, euer Styling deutlich verbessern. Neben den Isolationsübungen der Schultern, des Oberkörpers und der Hüften, verschiedenen Drehbewegungen erwarten euch elegante und anspruchsvolle Salsastyle mit Veronica , welche ihr auf der Tanzfläche verwenden könnt. FuegoyPasion \nQue viva la Salsa del Corazon!',1
'LUST AUF FUSSBALL, BEWEGUNG UND SPASS?\nDANN BIST DU BEI UNS RICHTIG!\n\nBei uns lernst Du unter anderem Spieltechniken wie das Passspiel oder verschiedene Schusstechniken aber auch alles rund um das Fussballspielen, wie den fairen Umgang mit Deinen Gegnern und Mitspielern.\n\nWir freuen uns auf Dich!​',1
'Wieder mal was ganz in der Nähe gibts für das Dunschtigstauche in dieser Woche. Eine schöne Steilwand wartet darauf, von uns betaucht zu werden.\nTreffpunkt ist um 18:30 Uhr im Tauchcenter. Anmelden bitte über den Zusagen Button.',1
'Wasserenthusiasten aufgepasst! Der «waveup surfmarkt» ist zurück und leutet das Frühjahr mit einer ordentlichen Portion Surf Vibes ein. Für einen Tag verwandelt sich das Dynamo zum Surf-Mekka der Schweiz. Private und Shops treffen auf der Ausstellungsfläche aufeinander und bieten allerlei Surfmaterial und Zubehör zum Verkauf an.\n\nDas Angebot erstreckt sich von Second Hand bis hin zu Neuware. Nebst den Verkaufsständen im Konzertsaal, findest du im unteren Stockwerk unser Special Event. Eine Art Gallery mit der Thematik «Surfer Lifestyle». Und damit nicht genug. Spontane Wagemutige können sich hier auch gleich ein «hand poked» Tattoo stechen lassen. Wir freuen uns auf dich\n\nAnmeldung für Standplatz funktioniert schnell und einfach über unserer Website.',1
'Erhalten Sie einen Einblick in eine traditionelle Kampfkunst aus Japan.\r\n\r\nGratis\r\n\r\nKeine Vorkenntnisse erforderlich.\r\nAusrüstung: Sportbekleidung',1
